Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"ALL_HOMED","ALL_HOMED",Boolean,1,R/W,100,,,,,,,,,,"",
"CAL_ALL","CAL_ALL",Boolean,1,R/W,100,,,,,,,,,,"",
"CAL_ALL_CYCLE","CAL_ALL_CYCLE",Boolean,1,R/W,100,,,,,,,,,,"",
"CALED_D120","CALED_D120",Boolean,1,R/W,100,,,,,,,,,,"",
"CALED_D121","CALED_D121",Boolean,1,R/W,100,,,,,,,,,,"",
"CALED_D122","CALED_D122",Boolean,1,R/W,100,,,,,,,,,,"",
"CALED_D123","CALED_D123",Boolean,1,R/W,100,,,,,,,,,,"",
"CALIBRAR_D120","CALIBRAR_D120",Boolean,1,R/W,100,,,,,,,,,,"",
"CALIBRAR_D121","CALIBRAR_D121",Boolean,1,R/W,100,,,,,,,,,,"",
"CALIBRAR_D122","CALIBRAR_D122",Boolean,1,R/W,100,,,,,,,,,,"",
"CALIBRAR_D123","CALIBRAR_D123",Boolean,1,R/W,100,,,,,,,,,,"",
"CANCEL_ALL_HOME","CANCEL_ALL_HOME",Boolean,1,R/W,100,,,,,,,,,,"",
"CANCEL_CAL_ALL","CANCEL_CAL_ALL",Boolean,1,R/W,100,,,,,,,,,,"",
"CLEAR_FAULT_DRIVES","CLEAR_FAULT_DRIVES",Boolean,1,R/W,100,,,,,,,,,,"",
"D120_FAULT","D120_FAULT",Boolean,1,R/W,100,,,,,,,,,,"",
"D121_FAULT","D121_FAULT",Boolean,1,R/W,100,,,,,,,,,,"",
"D122_FAULT","D122_FAULT",Boolean,1,R/W,100,,,,,,,,,,"",
"D123_FAULT","D123_FAULT",Boolean,1,R/W,100,,,,,,,,,,"",
"DIST_HOJA","DIST_HOJA",Double,1,R/W,100,,,,,,,,,,"",
"EN_ETHERNET_D120","EN_ETHERNET_D120",Boolean,1,R/W,100,,,,,,,,,,"",
"EN_ETHERNET_D121","EN_ETHERNET_D121",Boolean,1,R/W,100,,,,,,,,,,"",
"EN_ETHERNET_D122","EN_ETHERNET_D122",Boolean,1,R/W,100,,,,,,,,,,"",
"EN_ETHERNET_D123","EN_ETHERNET_D123",Boolean,1,R/W,100,,,,,,,,,,"",
"EN_HSC","EN_HSC",Boolean,1,R/W,100,,,,,,,,,,"",
"END_BRAZO_CDR","END_BRAZO_CDR",Double,1,R/W,100,,,,,,,,,,"",
"END_BRAZO_GM","END_BRAZO_GM",Double,1,R/W,100,,,,,,,,,,"",
"END_BRAZO_LO","INI_BRAZO_LO",Double,1,R/W,100,,,,,,,,,,"",
"END_BRAZO_LT","END_BRAZO_LT",Double,1,R/W,100,,,,,,,,,,"",
"GO_NPOS_BRAZO_CDR","GO_NPOS_BRAZO_CDR",Boolean,1,R/W,100,,,,,,,,,,"",
"GO_NPOS_BRAZO_GM","GO_NPOS_BRAZO_GM",Boolean,1,R/W,100,,,,,,,,,,"",
"GO_NPOS_BRAZO_LO","GO_NPOS_BRAZO_LO",Boolean,1,R/W,100,,,,,,,,,,"",
"GO_NPOS_BRAZO_LT","GO_NPOS_BRAZO_LT",Boolean,1,R/W,100,,,,,,,,,,"",
"HOME_ALL","HOME_ALL",Boolean,1,R/W,100,,,,,,,,,,"",
"HOME_ALL_CYCLE","HOME_ALL_CYCLE",Boolean,1,R/W,100,,,,,,,,,,"",
"HOME_D120","HOME_D120",Boolean,1,R/W,100,,,,,,,,,,"",
"HOME_D121","HOME_D121",Boolean,1,R/W,100,,,,,,,,,,"",
"HOME_D122","HOME_D122",Boolean,1,R/W,100,,,,,,,,,,"",
